Version,Timestamp,Level,Thread,Entry,Command
0.0.1-dev,2026-02-14T19:05:32.706642Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerProvider,"SoulLogger initialized in DEVELOPMENT mode (Level: DEBUG, Logback: true)"
0.0.1-dev,2026-02-14T19:05:32.721813Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Application launched in 2026.02.14T19:05:32
0.0.1-dev,2026-02-14T19:05:32.722749Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Running in DEVELOPMENT mode with introspection enabled
0.0.1-dev,2026-02-14T19:05:32.723637Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Log reflex route registered at /soul/logger
0.0.1-dev,2026-02-14T19:05:32.726554Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Analysis routes registered
0.0.1-dev,2026-02-14T19:05:32.728522Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Config management route registered at /soul/logger/config
0.0.1-dev,2026-02-14T19:05:32.730275Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Runtime level route registered at /soul/logger/level
0.0.1-dev,2026-02-14T19:05:32.731907Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Health check route registered at /soul/logger/health
0.0.1-dev,2026-02-14T19:05:32.735007Z,INFO,main(1),com.lestere.opensource.config.HotReloader,HotReloader started with strategy: WATCH
0.0.1-dev,2026-02-14T19:05:32.735047Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Hot reloader started
0.0.1-dev,2026-02-14T19:05:33.678322Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:05:33.678750Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,SoulLogger Sample Application Started
0.0.1-dev,2026-02-14T19:05:33.678943Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Demo:   http://localhost:8000/demo
0.0.1-dev,2026-02-14T19:05:51.689760Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerProvider,"SoulLogger initialized in DEVELOPMENT mode (Level: DEBUG, Logback: true)"
0.0.1-dev,2026-02-14T19:05:51.704076Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Application launched in 2026.02.14T19:05:51
0.0.1-dev,2026-02-14T19:05:51.704863Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Running in DEVELOPMENT mode with introspection enabled
0.0.1-dev,2026-02-14T19:05:51.705831Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Log reflex route registered at /soul/logger
0.0.1-dev,2026-02-14T19:05:51.708112Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Analysis routes registered
0.0.1-dev,2026-02-14T19:05:51.709696Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Config management route registered at /soul/logger/config
0.0.1-dev,2026-02-14T19:05:51.711332Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Runtime level route registered at /soul/logger/level
0.0.1-dev,2026-02-14T19:05:51.712753Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Health check route registered at /soul/logger/health
0.0.1-dev,2026-02-14T19:05:51.715146Z,INFO,main(1),com.lestere.opensource.config.HotReloader,HotReloader started with strategy: WATCH
0.0.1-dev,2026-02-14T19:05:51.715224Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Hot reloader started
0.0.1-dev,2026-02-14T19:05:52.665083Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Demo:   http://localhost:8000/demo
0.0.1-dev,2026-02-14T19:05:52.665186Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:05:52.665112Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,API:    http://localhost:8000/api/v1
0.0.1-dev,2026-02-14T19:05:52.665140Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Health: http://localhost:8000/health
0.0.1-dev,2026-02-14T19:05:52.664839Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:05:52.664987Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,SoulLogger Sample Application Started
0.0.1-dev,2026-02-14T19:05:52.665019Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:05:52.665048Z,INFO,DefaultDispatcher-worker-2(29),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Web UI: http://localhost:8000/webui/
0.0.1-dev,2026-02-14T19:05:33.679155Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:05:33.679002Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,API:    http://localhost:8000/api/v1
0.0.1-dev,2026-02-14T19:05:33.679091Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Health: http://localhost:8000/health
0.0.1-dev,2026-02-14T19:05:33.678820Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:05:33.678883Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Web UI: http://localhost:8000/webui/
0.0.1-dev,2026-02-14T19:06:23.097315Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerProvider,"SoulLogger initialized in DEVELOPMENT mode (Level: DEBUG, Logback: true)"
0.0.1-dev,2026-02-14T19:06:23.110548Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Application launched in 2026.02.14T19:06:23
0.0.1-dev,2026-02-14T19:06:23.111285Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Running in DEVELOPMENT mode with introspection enabled
0.0.1-dev,2026-02-14T19:06:23.112121Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Log reflex route registered at /soul/logger
0.0.1-dev,2026-02-14T19:06:23.114756Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Analysis routes registered
0.0.1-dev,2026-02-14T19:06:23.116606Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Config management route registered at /soul/logger/config
0.0.1-dev,2026-02-14T19:06:23.118364Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Runtime level route registered at /soul/logger/level
0.0.1-dev,2026-02-14T19:06:23.119827Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Health check route registered at /soul/logger/health
0.0.1-dev,2026-02-14T19:06:23.122593Z,INFO,main(1),com.lestere.opensource.config.HotReloader,HotReloader started with strategy: WATCH
0.0.1-dev,2026-02-14T19:06:23.122633Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Hot reloader started
0.0.1-dev,2026-02-14T19:06:24.075834Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,API:    http://localhost:8000/api/v1
0.0.1-dev,2026-02-14T19:06:24.075868Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Health: http://localhost:8000/health
0.0.1-dev,2026-02-14T19:06:24.075905Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:06:24.075389Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:06:24.075671Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,SoulLogger Sample Application Started
0.0.1-dev,2026-02-14T19:06:24.075712Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:06:24.075755Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Web UI: http://localhost:8000/webui/
0.0.1-dev,2026-02-14T19:06:24.075790Z,INFO,DefaultDispatcher-worker-12(40),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Demo:   http://localhost:8000/demo
0.0.1-dev,2026-02-14T19:06:42.073183Z,INFO,eventLoopGroupProxy-4-1(52),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/health
0.0.1-dev,2026-02-14T19:06:42.124608Z,INFO,eventLoopGroupProxy-4-1(52),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/health (200 OK && 62 bytes)
0.0.1-dev,2026-02-14T19:06:42.146977Z,INFO,eventLoopGroupProxy-4-2(54),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/health/live
0.0.1-dev,2026-02-14T19:06:42.150070Z,WARN,eventLoopGroupProxy-4-2(54),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/health/live (Unknown status && 34 bytes)
0.0.1-dev,2026-02-14T19:06:42.164500Z,INFO,eventLoopGroupProxy-4-3(56),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/health/ready
0.0.1-dev,2026-02-14T19:06:42.167664Z,INFO,eventLoopGroupProxy-4-3(56),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/health/ready (200 OK && 62 bytes)
0.0.1-dev,2026-02-14T19:07:11.642929Z,INFO,eventLoopGroupProxy-4-4(58),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/health/live
0.0.1-dev,2026-02-14T19:07:11.651662Z,WARN,eventLoopGroupProxy-4-4(58),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/health/live (Unknown status && 34 bytes)
0.0.1-dev,2026-02-14T19:07:23.075493Z,DEBUG,DefaultDispatcher-worker-16(45),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$5,Heartbeat - application running
0.0.1-dev,2026-02-14T19:08:59.176672Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerProvider,"SoulLogger initialized in DEVELOPMENT mode (Level: DEBUG, Logback: true)"
0.0.1-dev,2026-02-14T19:08:59.190134Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Application launched in 2026.02.14T19:08:59
0.0.1-dev,2026-02-14T19:08:59.190947Z,INFO,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Running in DEVELOPMENT mode with introspection enabled
0.0.1-dev,2026-02-14T19:08:59.192030Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Log reflex route registered at /soul/logger
0.0.1-dev,2026-02-14T19:08:59.195145Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Analysis routes registered
0.0.1-dev,2026-02-14T19:08:59.196787Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Config management route registered at /soul/logger/config
0.0.1-dev,2026-02-14T19:08:59.198428Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Runtime level route registered at /soul/logger/level
0.0.1-dev,2026-02-14T19:08:59.199966Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Health check route registered at /soul/logger/health
0.0.1-dev,2026-02-14T19:08:59.202264Z,INFO,main(1),com.lestere.opensource.config.HotReloader,HotReloader started with strategy: WATCH
0.0.1-dev,2026-02-14T19:08:59.202304Z,DEBUG,main(1),com.lestere.opensource.logger.SoulLoggerPluginKt,Hot reloader started
0.0.1-dev,2026-02-14T19:09:00.152856Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:09:00.152901Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Web UI: http://localhost:8000/webui/
